Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.6,2818451145,7,402635877.9,402490813.0,402349606,402997412,285091.2,pthread_cond_wait
2.3,67065422,4,16766355.5,17313313.5,1452696,30986099,15964085.2,poll
0.8,24870978,4141,6006.0,4690.0,3773,43822,3230.3,munmap
0.7,22076380,2172,10164.1,3774.5,1000,1031318,33121.5,read
0.4,13393793,4217,3176.1,2681.0,1873,65809,1904.7,mmap64
0.4,11168169,2111,5290.5,5066.0,2520,51261,2004.3,open64
0.3,8872430,2,4436215.0,4436215.0,934607,7937823,4952021.5,fork
0.2,6614544,5,1322908.8,1485662.0,7876,2743129,1283657.6,pthread_join
0.1,3951596,1989,1986.7,1971.0,1058,14647,758.8,close
0.0,657764,9,73084.9,72948.0,69559,77114,2945.4,sleep
0.0,326285,84,3884.3,2327.0,1393,29820,4309.4,fgets
0.0,89425,12,7452.1,5794.5,3385,23983,5509.2,pthread_cond_signal
0.0,73364,2,36682.0,36682.0,35833,37531,1200.7,waitpid
0.0,53119,7,7588.4,7968.0,2594,13243,4011.7,fopen64
0.0,38905,3,12968.3,14797.0,1708,22400,10466.5,write
0.0,29365,6,4894.2,3644.5,2477,9640,2679.1,pipe2
0.0,21910,1,21910.0,21910.0,21910,21910,0.0,socket
0.0,19856,5,3971.2,3564.0,3440,5596,921.0,fclose
0.0,15351,2,7675.5,7675.5,3721,11630,5592.5,fread
0.0,14522,1,14522.0,14522.0,14522,14522,0.0,fopen
0.0,9687,1,9687.0,9687.0,9687,9687,0.0,bind
0.0,8310,2,4155.0,4155.0,3554,4756,849.9,stat64
0.0,5755,4,1438.8,1430.5,1374,1520,61.1,fcntl
0.0,4722,2,2361.0,2361.0,2255,2467,149.9,sigaction
0.0,3981,2,1990.5,1990.5,1757,2224,330.2,ioctl
0.0,2714,2,1357.0,1357.0,1261,1453,135.8,signal
0.0,2459,1,2459.0,2459.0,2459,2459,0.0,getentropy
0.0,2440,2,1220.0,1220.0,1210,1230,14.1,fstat64
0.0,1505,1,1505.0,1505.0,1505,1505,0.0,fflush
0.0,1118,1,1118.0,1118.0,1118,1118,0.0,pthread_cond_broadcast
